Feature Name,Locus,Start Coordinate,End Coordinate,Translation Start Coordinate,Translation End Coordinate,Disruptions Available,Distance from Translation Start,Fractional Distance from Translation Start,In Multiple Occupancy Well,Locatability,Progenitor Collection Address,Rearrayed Collection Address
phoD,['SO_0806'],817728,819494,817728,819494,"818489, 817808","761, 80","0.43, 0.05","True, False","unambiguous, unambiguous","116_H2, 277_G1","5_A11, 41_B2"
SO_0807,['SO_0807'],819812,820378,819812,820378,"819992, 819917","180, 105","0.32, 0.19","True, False","unambiguous, unambiguous","172_H3, 306_C9","16_A2, 41_F11"
SO_0808,['SO_0808'],820745,821050,820745,821050,"821048","303","0.99","False","unambiguous","367_C8","31_A9"
azu,['SO_0809'],821151,821627,821627,821151,"821375","252","0.53","False","unambiguous","181_D2","16_H10"
rbsK,['SO_0810'],821797,822708,822708,821797,"","","","","","",""
rihA,['SO_0811'],822729,823685,823685,822729,"823671","14","0.01","False","unambiguous","329_E6","42_E6"
SO_0812,['SO_0812'],823889,825235,823889,825235,"824460, 824963","571, 1074","0.42, 0.80","False, True","unambiguous, ambiguous","164_C2, 166_A2","15_G5, 15_G6"
SO_0813,['SO_0813'],825239,826681,825239,826681,"825276","37","0.03","False","unambiguous","351_E2","30_E5"
btuB,['SO_0815'],827155,829116,827155,829116,"827424, 827253","269, 98","0.14, 0.05","False, True","unambiguous, unambiguous","293_F8, 328_B3","25_G4, 42_H5"
SO_0816,['SO_0816'],829377,830105,829377,830105,"829647","270","0.37","True","unambiguous","7_D2","45_D5"
metR,['SO_0817'],830162,831067,831067,830162,"830956","111","0.12","False","unambiguous","48_C4","9_D4"
metE,['SO_0818'],831267,833549,831267,833549,"831606","339","0.15","False","unambiguous","302_G12","26_A5"
tnpA,['SO_0819'],833685,834641,833685,834641,"","","","","","",""
macA,['SO_0820'],834972,836189,834972,836189,"835518","546","0.45","False","unambiguous","171_C5","15_F12"
macB,['SO_0821'],836192,838162,836192,838162,"836407","215","0.11","False","unambiguous","72_E9","3_C11"
macC,['SO_0822'],838167,839585,838167,839585,"838585, 839559","418, 1392","0.29, 0.98","False, True","unambiguous, unambiguous","166_G8, 49_B3","15_C8, 44_C11"
SO_0823,['SO_0823'],839663,840787,840787,839663,"840775","12","0.01","False","unambiguous","34_E7","8_G9"
SO_0824,['SO_0824'],840992,841369,841369,840992,"841297","72","0.19","False","unambiguous","168_B9","15_E9"
SO_0826,['SO_0826'],841777,843468,843468,841777,"843387","81","0.05","False","unambiguous","98_E3","11_D7"
SO_0827,['SO_0827'],844169,845806,845806,844169,"844207, 845706","1599, 100","0.98, 0.06","True, False","ambiguous, unambiguous","261_H9, 339_G4","22_C8, 29_E4"
rsmC,['SO_0828'],846823,847851,847851,846823,"847622, 847622, 847175, 847795","229, 229, 676, 56","0.22, 0.22, 0.66, 0.05","True, True, True, True","ambiguous, ambiguous, ambiguous, unambiguous","75_C10, 72_C10, 98_F7, 45_B3","3_F12, 10_B6, 11_G7, 44_C10"
phoA,['SO_0830'],848099,849463,849463,848099,"849414","49","0.04","False","unambiguous","149_E12","14_G3"
gshB,['SO_0831'],849536,850483,850483,849536,"850198","285","0.30","False","unambiguous","175_D4","16_H3"
rsmE,['SO_0832'],850577,851308,851308,850577,"850987","321","0.44","False","unambiguous","314_F6","27_E6"
endA,['SO_0833'],851317,852093,852093,851317,"851600, 851517","493, 576","0.64, 0.74","False, True","unambiguous, unambiguous","312_F11, 122_B3","27_F4, 36_B5"
sprT,['SO_0834'],852232,852852,852852,852232,"852292","560","0.90","False","unambiguous","255_G12","22_D4"
SO_0835,['SO_0835'],852994,854151,854151,852994,"852995","1156","1.00","False","unambiguous","326_G7","28_D3"
blaA,['SO_0837'],854515,855312,854515,855312,"854645","130","0.16","True","unambiguous","77_A8","45_F7"
SO_0839,['SO_0839'],855541,856452,856452,855541,"855789","663","0.73","False","unambiguous","119_C6","12_A9"
accADCB,['SO_0840'],856575,861128,856575,861128,"","","","","","",""
SO_0841,['SO_0841'],861295,862764,861295,862764,"862233","938","0.64","False","unambiguous","382_E8","32_E11"
SO_0842,['SO_0842'],863203,865296,863203,865296,"","","","","","",""
SO_0843,['SO_0843'],865510,866391,866391,865510,"866107, 866136","284, 255","0.32, 0.29","True, False","unambiguous, unambiguous","228_F9, 255_C10","20_H4, 40_E7"
SO_0844,['SO_0844'],866486,866638,866486,866638,"","","","","","",""
napB,['SO_0845'],866814,867245,867245,866814,"867020","225","0.52","False","unambiguous","165_F8","37_C8"
napH,['SO_0846'],867242,868246,868246,867242,"867820, 868216","426, 30","0.42, 0.03","False, True","unambiguous, unambiguous","35_A3, 323_B3","8_B10, 42_C4"
napG,['SO_0847'],868243,868977,868977,868243,"868637","340","0.46","False","unambiguous","43_G3","9_F2"
napA,['SO_0848'],869029,871509,871509,869029,"871056, 871322, 870505","453, 187, 1004","0.18, 0.08, 0.40","True, False, True","unambiguous, unambiguous, unambiguous","400_F1, 154_E12, 195_B3","34_D5, 37_E3, 38_G7"
napD,['SO_0849'],871506,871790,871790,871506,"","","","","","",""
SO_0850,['SO_0850'],872300,873928,873928,872300,"873847, 873628","81, 300","0.05, 0.18","False, True","unambiguous, unambiguous","304_H7, 302_F10","26_D8, 41_F10"
SO_0851,['SO_0851'],873944,874486,874486,873944,"874232","254","0.47","False","unambiguous","279_B5","24_D2"
SO_0852,['SO_0852'],874489,874887,874887,874489,"874880, 874754","7, 133","0.02, 0.33","True, True","unambiguous, ambiguous","412_A1, 88_C8","35_A4, 45_G10"
SO_0853,['SO_0853'],874887,875321,875321,874887,"875307","14","0.03","False","unambiguous","288_A4","41_F5"
SO_0854,['SO_0854'],875323,875694,875694,875323,"875683","11","0.03","True","unambiguous","142_A4","13_C10"
attH,['SO_0855'],875921,877198,877198,875921,"876550, 876226","648, 972","0.51, 0.76","False, True","unambiguous, unambiguous","242_G4, 144_B3","21_F5, 36_H10"
attFG,['SO_0856'],877195,879888,879888,877195,"879802, 878311, 879779, 879839","86, 1577, 109, 49","0.03, 0.59, 0.04, 0.02","False, True, True, True","unambiguous, unambiguous, unambiguous, unambiguous","140_C11, 222_E11, 215_C2, 61_F8","13_D9, 19_E11, 39_E3, 45_D2"
attE,['SO_0857'],879890,880561,880561,879890,"880052","509","0.76","True","unambiguous","1_B3","35_E10"
glyP,['SO_0858'],881216,882574,881216,882574,"881266","50","0.04","False","unambiguous","287_D4","24_H10"
SO_0859,['SO_0859'],882701,887998,882701,887998,"884592, 884592, 884592, 883084, 887557, 883357, 882751, 883248, 884703, 886283","1891, 1891, 1891, 383, 4856, 656, 50, 547, 2002, 3582","0.36, 0.36, 0.36, 0.07, 0.92, 0.12, 0.01, 0.10, 0.38, 0.68","True, True, True, True, True, True, False, True, True, True","ambiguous, ambiguous, ambiguous, unambiguous, unambiguous, ambiguous, unambiguous, unambiguous, ambiguous, unambiguous","61_G11, 187_G6, 187_G11, 225_A3, 125_B1, 153_D4, 199_G7, 367_B3, 383_G4, 37_G7","3_D5, 17_A5, 17_H4, 20_A2, 36_G5, 37_C3, 38_B9, 43_B5, 43_C9, 43_F5"
SO_0860,['SO_0860'],888060,889076,888060,889076,"888065","5","0.00","False","unambiguous","96_D3","4_D12"
ygfZ,['SO_0861'],889184,890140,890140,889184,"","","","","","",""
serA,['SO_0862'],890275,891504,891504,890275,"891403, 891411","101, 93","0.08, 0.08","True, False","unambiguous, unambiguous","211_G4, 126_A10","19_A3, 36_H5"
yjdF,['SO_0863'],891662,892267,891662,892267,"891740, 891740, 891822","78, 78, 160","0.13, 0.13, 0.26","False, True, True","ambiguous, ambiguous, unambiguous","28_B11, 187_B7, 85_B3","2_G1, 17_C4, 45_A9"
csgD,['SO_0864'],892638,893309,892638,893309,"892864, 893213, 892713","226, 575, 75","0.34, 0.86, 0.11","True, True, True","unambiguous, ambiguous, unambiguous","139_C12, 10_A1, 217_H7","6_A10, 7_C6, 39_D4"
csgA,['SO_0865'],893523,895031,895031,893523,"894834","197","0.13","False","unambiguous","81_B11","10_D9"
csgB,['SO_0866'],895046,895465,895465,895046,"895421","44","0.11","True","unambiguous","314_C11","27_A6"
SO_0867,['SO_0867'],895864,898371,895864,898371,"896197, 898052, 895981","333, 2188, 117","0.13, 0.87, 0.05","True, True, False","unambiguous, ambiguous, unambiguous","58_B9, 131_A9, 156_C8","3_B3, 6_F5, 37_H4"
SO_0868,['SO_0868'],898429,898950,898950,898429,"898881, 898881","69, 69","0.13, 0.13","True, True","unambiguous, unambiguous","91_G8, 91_G8","45_D12, 45_E12"
panC,['SO_0869'],899247,900092,900092,899247,"899248","844","1.00","True","unambiguous","165_B3","37_A8"
panB,['SO_0870'],900169,900963,900963,900169,"900224","739","0.93","False","unambiguous","63_G3","9_G12"
folK,['SO_0871'],901020,901508,901508,901020,"","","","","","",""
pcnB,['SO_0872'],901508,902944,902944,901508,"902751, 902910","193, 34","0.13, 0.02","True, False","unambiguous, unambiguous","282_H10, 199_A10","24_H6, 38_H8"
yadB,['SO_0873'],903099,903998,903998,903099,"903833","165","0.18","True","unambiguous","359_E8","31_B1"
dksA,['SO_0874'],904132,904575,904575,904132,"904546","29","0.07","True","unambiguous","342_C1","29_B7"
sfsA,['SO_0875'],904739,905443,905443,904739,"905260","183","0.26","False","unambiguous","326_G1","28_B3"
pepB,['SO_0876'],905612,906904,905612,906904,"906031, 905876, 906873, 905831, 906873","419, 264, 1261, 219, 1261","0.32, 0.20, 0.98, 0.17, 0.98","True, True, True, True, True","ambiguous, unambiguous, ambiguous, unambiguous, ambiguous","28_C4, 217_G2, 388_F9, 214_D10, 394_F9","8_G5, 19_D7, 33_A8, 39_H2, 43_F12"
SO_0877,['SO_0877'],907090,907602,907090,907602,"907098, 907261","8, 171","0.02, 0.33","False, True","unambiguous, unambiguous","146_H10, 319_B3","14_F1, 42_G2"
SO_0878,['SO_0878'],907976,908863,908863,907976,"908138","725","0.82","False","unambiguous","287_F12","24_D11"
SO_0879,['SO_0879'],908948,909193,909193,908948,"","","","","","",""
yheT,['SO_0880'],909203,910186,910186,909203,"910171, 909444, 909460, 910114, 910114","15, 742, 726, 72, 72","0.02, 0.75, 0.74, 0.07, 0.07","False, True, True, True, True","unambiguous, ambiguous, unambiguous, unambiguous, unambiguous","209_E6, 234_B12, 150_B3, 359_B3, 359_B3","18_G12, 20_B10, 37_H1, 43_G2, 43_H2"
SO_0881,['SO_0881'],910298,910804,910298,910804,"910507","209","0.41","False","unambiguous","261_D5","22_H7"
SO_0882,['SO_0882'],910851,912452,910851,912452,"912149, 911845","1298, 994","0.81, 0.62","False, True","unambiguous, unambiguous","239_H10, 376_B3","21_C3, 43_B7"
gfaA,['SO_0883'],912465,912875,912465,912875,"912801","336","0.82","False","unambiguous","88_H5","45_F10"
SO_0884,['SO_0884'],912927,913388,913388,912927,"","","","","","",""
yheS,['SO_0885'],913424,915337,915337,913424,"914829, 915026","508, 311","0.27, 0.16","True, True","unambiguous, ambiguous","220_D2, 4_D8","19_C10, 44_C3"
SO_0886,['SO_0886'],915614,915814,915614,915814,"","","","","","",""
aguA,['SO_0887'],915983,917095,915983,917095,"916625","642","0.58","False","unambiguous","256_G6","22_H4"
aguB,['SO_0888'],917169,918875,917169,918875,"918873","1704","1.00","False","unambiguous","282_H2","24_A7"
SO_0890,['SO_0890'],919310,922763,919310,922763,"919386, 921429","76, 2119","0.02, 0.61","False, False","unambiguous, unambiguous","104_H6, 183_E10","5_C5, 16_B12"
tnpA,['SO_0893'],920107,922547,922547,920107,"921429","1118","0.46","False","unambiguous","183_E10","16_B12"
tnpA,['SO_0891'],920229,921388,920229,921388,"","","","","","",""
SO_0895,['SO_0895'],923639,924496,923639,924496,"923782, 923782","143, 143","0.17, 0.17","True, True","unambiguous, unambiguous","7_B3, 7_B3","1_C2, 45_F5"
dbpA,['SO_0897'],924809,926185,924809,926185,"925734, 924863","925, 54","0.67, 0.04","True, False","unambiguous, unambiguous","338_E12, 329_G5","29_H2, 42_C6"
SO_0898,['SO_0898'],926280,926807,926807,926280,"","","","","","",""
SO_0899,['SO_0899'],926866,927288,927288,926866,"927118","170","0.40","False","unambiguous","264_C5","22_E11"
SO_0900,['SO_0900'],927436,928476,928476,927436,"928470","6","0.01","False","unambiguous","232_G10","20_F8"
nqrA,['SO_0902'],928930,930300,928930,930300,"928953, 929076","23, 146","0.02, 0.11","True, True","unambiguous, unambiguous","318_H2, 9_B11","42_E2, 45_C11"
nqrB,['SO_0903'],930300,931532,930300,931532,"930360","60","0.05","False","unambiguous","337_G12","42_B8"
nqrC,['SO_0904'],931522,932316,931522,932316,"932163, 931664","641, 142","0.81, 0.18","True, True","unambiguous, unambiguous","170_A6, 358_G7","15_D11, 43_F2"
nqrD,['SO_0905'],932313,932933,932313,932933,"932464","151","0.24","False","unambiguous","4_B5","1_E1"
nqrE,['SO_0906'],932943,933551,932943,933551,"933077, 933252","134, 309","0.22, 0.51","False, True","unambiguous, ambiguous","91_B6, 219_F10","4_C8, 39_A5"
nqrF,['SO_0907'],933603,934820,933603,934820,"934134, 933658, 933658","531, 55, 55","0.44, 0.05, 0.05","True, True, True","unambiguous, unambiguous, unambiguous","215_B3, 250_D8, 250_D8","39_F3, 40_E5, 40_F5"
SO_0908,['SO_0908'],934918,935235,935235,934918,"934983, 934983, 934982, 934983","252, 252, 253, 252","0.79, 0.79, 0.80, 0.79","True, True, True, True","ambiguous, ambiguous, ambiguous, ambiguous","49_F7, 44_H7, 353_B3, 44_H7","2_A12, 2_F9, 43_E1, 44_A10"
SO_0909,['SO_0909'],935278,935841,935841,935278,"935697, 935791","144, 50","0.26, 0.09","True, True","unambiguous, unambiguous","185_C5, 237_F3","17_A2, 39_F11"
SO_0910,['SO_0910'],936194,937228,937228,936194,"936854, 936854, 936854","374, 374, 374","0.36, 0.36, 0.36","True, True, True","unambiguous, unambiguous, unambiguous","304_B8, 304_B3, 304_B3","26_C7, 41_B11, 41_C11"
SO_0911,['SO_0911'],937570,938662,937570,938662,"938132","562","0.51","False","unambiguous","135_F9","6_F8"
SO_0912,['SO_0912'],938664,939059,938664,939059,"938687","23","0.06","False","unambiguous","96_G11","11_D6"
fic,['SO_0913'],939757,940350,939757,940350,"939812, 940151, 940119","55, 394, 362","0.09, 0.66, 0.61","False, True, True","unambiguous, unambiguous, ambiguous","54_G2, 218_B9, 394_D2","9_H7, 19_H7, 43_E11"
SO_0914,['SO_0914'],940407,941603,940407,941603,"940829, 940467","422, 60","0.35, 0.05","True, False","unambiguous, unambiguous","394_G10, 10_C12","33_B11, 35_B11"
SO_0915,['SO_0915'],941756,944206,944206,941756,"944159, 942365, 944106, 944106","47, 1841, 100, 100","0.02, 0.75, 0.04, 0.04","False, True, True, True","unambiguous, unambiguous, unambiguous, unambiguous","381_D4, 128_B3, 5_E4, 5_E4","32_B10, 36_D6, 46_E3, 46_E3"
SO_0916,['SO_0916'],944481,945410,945410,944481,"945396, 945346","14, 64","0.02, 0.07","False, True","unambiguous, ambiguous","177_A9, 276_E1","16_D6, 23_A12"
yjjX,['SO_0917'],945565,946104,946104,945565,"945696, 946011","408, 93","0.76, 0.17","True, True","unambiguous, ambiguous","178_E12, 2_C11","16_G7, 38_C9"
aaiD,['SO_0918'],946387,948954,946387,948954,"946439, 947380, 947169, 946439, 946439, 948153","52, 993, 782, 52, 52, 1766","0.02, 0.39, 0.30, 0.02, 0.02, 0.69","True, True, True, True, True, True","unambiguous, unambiguous, ambiguous, unambiguous, unambiguous, unambiguous","14_B4, 87_F10, 342_A9, 14_B3, 14_B3, 322_B3","1_B5, 10_B12, 29_H6, 36_F9, 36_G9, 42_H3"
sdaC,['SO_0919'],949385,950677,949385,950677,"949471, 949471, 949950, 949471","86, 86, 565, 86","0.07, 0.07, 0.44, 0.07","True, True, True, True","ambiguous, ambiguous, unambiguous, ambiguous","7_B3, 7_B10, 217_H7, 7_B3","1_C2, 7_G4, 39_D4, 45_F5"
SO_0920,['SO_0920'],950736,951179,951179,950736,"950927, 950827","252, 352","0.57, 0.79","False, True","unambiguous, unambiguous","282_D12, 328_A10","24_B6, 42_F5"
SO_0921,['SO_0921'],951403,951699,951403,951699,"951555","152","0.51","False","unambiguous","383_E5","43_D9"
SO_0922,['SO_0922'],951862,953184,951862,953184,"952432, 952087, 952147, 952087","570, 225, 285, 225","0.43, 0.17, 0.22, 0.17","True, False, True, True","ambiguous, unambiguous, ambiguous, ambiguous","203_D5, 361_A3, 328_B3, 361_B3","18_A8, 31_A3, 42_H5, 43_A4"
SO_0923,['SO_0923'],953269,953685,953685,953269,"953577","108","0.26","False","unambiguous","357_D1","30_G10"
SO_0924,['SO_0924'],953756,953989,953756,953989,"953908","152","0.65","False","unambiguous","305_D5","26_F8"
SO_0925,['SO_0925'],954005,955012,955012,954005,"954527, 954916, 954603, 954527","485, 96, 409, 485","0.48, 0.10, 0.41, 0.48","True, False, True, True","ambiguous, unambiguous, unambiguous, ambiguous","95_C7, 61_F11, 189_C11, 200_C7","4_C11, 9_B11, 17_C6, 38_E10"
SO_0926,['SO_0926'],955094,955708,955094,955708,"955246, 955532","152, 438","0.25, 0.71","False, True","unambiguous, unambiguous","415_C4, 108_B3","35_H6, 36_B1"
SO_0927,['SO_0927'],955896,956237,955896,956237,"955916","20","0.06","False","unambiguous","198_G5","18_C3"
SO_0928,['SO_0928'],956612,957565,956612,957565,"957496, 957496, 956734, 957421","884, 884, 122, 809","0.93, 0.93, 0.13, 0.85","True, True, False, True","ambiguous, ambiguous, unambiguous, ambiguous","4_D7, 130_D7, 357_F11, 185_A3","7_B3, 13_D4, 30_A11, 38_B3"
metK,['SO_0929'],957987,959138,959138,957987,"","","","","","",""
tkt,['SO_0930'],959616,961610,959616,961610,"","","","","","",""
e4pd,['SO_0931'],961739,962755,961739,962755,"961868","129","0.13","True","unambiguous","227_E12","20_C4"
pgk,['SO_0932'],962889,964064,962889,964064,"","","","","","",""
fba,['SO_0933'],964252,965319,964252,965319,"965050","798","0.75","False","unambiguous","369_D7","31_A11"
SO_0934,['SO_0934'],965457,966194,965457,966194,"965605","148","0.20","False","unambiguous","158_D5","14_B11"
nhaD,['SO_0935'],966435,967904,966435,967904,"966775, 966582, 967181","340, 147, 746","0.23, 0.10, 0.51","True, False, True","ambiguous, unambiguous, ambiguous","320_H2, 2_E7, 285_B3","27_C11, 38_H9, 41_D4"
SO_0936,['SO_0936'],968070,968816,968070,968816,"968480","410","0.55","False","unambiguous","137_D3","6_F9"
SO_0937,['SO_0937'],968818,969357,968818,969357,"969183","365","0.68","False","unambiguous","116_A10","5_G10"
SO_0938,['SO_0938'],969424,969948,969948,969424,"969879","69","0.13","False","unambiguous","375_D7","32_G3"
SO_0939,['SO_0939'],969959,970783,970783,969959,"970771","12","0.01","False","unambiguous","413_D9","35_C5"
SO_0940,['SO_0940'],971225,971968,971225,971968,"971554, 971351","329, 126","0.44, 0.17","True, True","ambiguous, unambiguous","116_D8, 285_B3","12_F6, 41_D4"
SO_0941,['SO_0941'],971961,972491,971961,972491,"972327, 972054","366, 93","0.69, 0.18","True, True","unambiguous, unambiguous","239_B9, 233_G5","21_C2, 39_B10"
SO_0942,['SO_0942'],972576,973976,972576,973976,"972587","11","0.01","True","unambiguous","288_E2","24_H11"
SO_0943,['SO_0943'],973957,976194,976194,973957,"975646, 975584, 975642","548, 610, 552","0.24, 0.27, 0.25","True, False, True","ambiguous, unambiguous, unambiguous","169_A2, 411_G3, 233_G5","15_A10, 35_F3, 39_B10"
SO_0944,['SO_0944'],976359,977063,977063,976359,"976789, 976762","274, 301","0.39, 0.43","True, True","unambiguous, unambiguous","130_E3, 394_H3","36_B7, 43_F11"
SO_0945,['SO_0945'],977233,980436,980436,977233,"980317, 979093, 978223, 978993, 979093, 978341","119, 1343, 2213, 1443, 1343, 2095","0.04, 0.42, 0.69, 0.45, 0.42, 0.65","False, True, True, True, True, True","unambiguous, ambiguous, ambiguous, unambiguous, ambiguous, unambiguous","137_A3, 192_A4, 385_E11, 190_B3, 192_E4, 228_E4","13_H7, 17_G8, 33_B4, 38_E5, 38_F6, 39_E8"
SO_0946,['SO_0946'],980436,981638,981638,980436,"980795","843","0.70","False","unambiguous","199_E5","18_H3"
srmB,['SO_0947'],982197,983459,983459,982197,"982478, 982985","981, 474","0.78, 0.38","True, False","unambiguous, unambiguous","36_B11, 274_E8","2_C6, 23_G8"
yfiC,['SO_0948'],983738,984448,984448,983738,"984226","222","0.31","False","ambiguous","195_G11","17_D12"
brnQ,['SO_0949'],984997,986400,984997,986400,"985147","150","0.11","False","unambiguous","181_F6","16_B11"
xerD,['SO_0950'],986481,987383,986481,987383,"986914","433","0.48","False","unambiguous","279_E6","24_A3"
dsbC,['SO_0951'],987534,988259,987534,988259,"988186","652","0.90","False","unambiguous","359_G4","31_C1"
recJ,['SO_0952'],988352,990076,988352,990076,"988398","46","0.03","False","unambiguous","248_E1","21_E10"
SO_0953,['SO_0953'],990120,990449,990120,990449,"990381","261","0.79","False","unambiguous","245_G7","21_B8"
SO_0954,['SO_0954'],990485,990904,990485,990904,"990870","385","0.92","False","unambiguous","114_B11","5_D9"
SO_0955,['SO_0955'],990964,991149,990964,991149,"990979","15","0.08","False","unambiguous","75_F2","3_H12"
ahpF,['SO_0956'],991215,992798,992798,991215,"992230","568","0.36","True","unambiguous","29_G9","8_B7"
ahpC,['SO_0958'],993033,993602,993602,993033,"","","","","","",""
SO_0959,['SO_0959'],993944,995479,995479,993944,"995360, 995195","119, 284","0.08, 0.19","False, True","unambiguous, unambiguous","119_B6, 281_A1","12_E8, 41_C3"
SO_0960,['SO_0960'],995569,996312,996312,995569,"995889, 996165, 996165, 996165","423, 147, 147, 147","0.57, 0.20, 0.20, 0.20","False, True, True, True","unambiguous, ambiguous, ambiguous, ambiguous","24_A8, 151_H3, 151_H3, 151_H3","8_B2, 37_B2, 37_C2, 37_D2"
SO_0961,['SO_0961'],996403,996948,996403,996948,"","","","","","",""
SO_0962,['SO_0962'],997194,997718,997194,997718,"997384, 997341","190, 147","0.36, 0.28","False, True","unambiguous, ambiguous","17_E11, 324_E4","1_A7, 28_A2"
ygdR,['SO_0963'],997932,998141,998141,997932,"997996","145","0.69","False","unambiguous","232_F12","20_E8"
SO_0967,['SO_0967'],998306,1000233,1000233,998306,"1000118, 999781","115, 452","0.06, 0.23","True, True","unambiguous, ambiguous","405_H7, 7_D2","34_B10, 45_D5"
tnpA,['SO_0966'],998573,999648,999648,998573,"","","","","","",""
ldhA,['SO_0968'],1000301,1001290,1001290,1000301,"1001236","54","0.05","False","unambiguous","308_B10","26_F11"
fccA,['SO_0970'],1001534,1003324,1003324,1001534,"1003058, 1002625","266, 699","0.15, 0.39","False, True","unambiguous, unambiguous","55_H5, 189_F3","9_F8, 17_G6"
SO_0971,['SO_0971'],1003825,1004235,1003825,1004235,"1003998, 1003998, 1003934, 1003998, 1003998","173, 173, 109, 173, 173","0.42, 0.42, 0.27, 0.42, 0.42","True, True, False, True, True","ambiguous, ambiguous, unambiguous, ambiguous, ambiguous","87_G8, 175_G8, 194_E7, 91_G8, 91_G8","4_G6, 16_F4, 17_E11, 45_D12, 45_E12"
SO_0972,['SO_0972'],1004232,1004765,1004232,1004765,"1004303, 1004252, 1004656","71, 20, 424","0.13, 0.04, 0.80","True, True, True","unambiguous, ambiguous, unambiguous","192_A4, 244_F4, 49_B3","17_G8, 40_C2, 44_C11"
SO_0973,['SO_0973'],1004821,1005111,1004821,1005111,"1004876","55","0.19","False","unambiguous","244_H2","40_B2"
SO_0974,['SO_0974'],1005208,1005393,1005393,1005208,"","","","","","",""
SO_0975,['SO_0975'],1005492,1006916,1006916,1005492,"1006884, 1006310","32, 606","0.02, 0.43","False, True","unambiguous, unambiguous","354_F5, 408_B3","30_E8, 44_H6"
ohrA,['SO_0976'],1007131,1007556,1007556,1007131,"1007308","248","0.58","False","unambiguous","237_A12","20_D12"
ohrR,['SO_0977'],1007685,1008182,1007685,1008182,"1007713, 1008175","28, 490","0.06, 0.99","True, True","unambiguous, unambiguous","306_F12, 341_B3","26_B10, 42_E9"
glpD,['SO_0978'],1008247,1009422,1008247,1009422,"1008896, 1008897","649, 650","0.55, 0.55","False, True","unambiguous, unambiguous","24_F7, 24_F5","1_G11, 8_E2"
rumB,['SO_0980'],1009602,1010762,1009602,1010762,"1009925, 1010216, 1010031","323, 614, 429","0.28, 0.53, 0.37","False, True, True","unambiguous, unambiguous, unambiguous","17_C4, 303_E8, 9_B3","1_G6, 26_D6, 45_D11"
SO_0981,['SO_0981'],1010794,1011417,1011417,1010794,"1010930","487","0.78","True","ambiguous","152_G9","37_B3"
tnpA,['SO_0982'],1011484,1012643,1011484,1012643,"","","","","","",""
SO_0984,['SO_0984'],1012653,1013642,1012653,1013642,"1012801, 1013591, 1013204","148, 938, 551","0.15, 0.95, 0.56","False, True, True","unambiguous, ambiguous, ambiguous","266_H10, 417_F9, 350_B4","23_A2, 35_A10, 42_F12"
SO_0986,['SO_0986'],1013820,1014971,1013820,1014971,"1014292","472","0.41","False","unambiguous","328_C11","28_A5"
SO_0987,['SO_0987'],1015101,1016765,1015101,1016765,"1015178, 1015257","77, 156","0.05, 0.09","False, True","unambiguous, ambiguous","240_D5, 190_E11","21_E3, 38_D5"
SO_0988,['SO_0988'],1016861,1021147,1021147,1016861,"1020293, 1018009, 1021143, 1020458, 1019308","854, 3138, 4, 689, 1839","0.20, 0.73, 0.00, 0.16, 0.43","True, True, False, True, True","unambiguous, ambiguous, unambiguous, unambiguous, ambiguous","140_B3, 256_C6, 407_A12, 323_H8, 388_B3","6_E10, 22_G4, 34_D11, 42_E4, 43_E10"
SO_0989,['SO_0989'],1021392,1022282,1021392,1022282,"1021551","159","0.18","True","unambiguous","152_A1","37_F2"
SO_0990,['SO_0990'],1022287,1023978,1023978,1022287,"1023806","172","0.10","False","unambiguous","234_D11","20_E10"
prfB,['SO_0991'],1024449,1025547,1024449,1025547,"","","","","","",""
lysS,['SO_0992'],1025577,1027079,1025577,1027079,"","","","","","",""
SO_0994,['SO_0994'],1027191,1027631,1027631,1027191,"1027492","139","0.32","False","unambiguous","385_A11","33_D3"
SO_0996,['SO_0996'],1028082,1028582,1028582,1028082,"1028121","461","0.92","True","unambiguous","394_F6","43_A12"
SO_0997,['SO_0997'],1028752,1029684,1028752,1029684,"1028823","71","0.08","False","unambiguous","20_A7","1_G8"
pbpG,['SO_0999'],1029978,1030943,1029978,1030943,"1030322","344","0.36","False","unambiguous","415_F2","35_F7"
SO_1000,['SO_1000'],1031124,1032710,1031124,1032710,"1031135, 1032167","11, 1043","0.01, 0.66","False, True","unambiguous, unambiguous","170_E5, 9_B3","15_F11, 45_D11"
chaA,['SO_1001'],1032741,1033838,1033838,1032741,"1032917, 1033794, 1033524, 1033432","921, 44, 314, 406","0.84, 0.04, 0.29, 0.37","True, False, True, True","ambiguous, unambiguous, ambiguous, ambiguous","304_H11, 305_E5, 30_D3, 4_A5","26_C8, 26_G8, 41_H9, 44_A3"
SO_1002,['SO_1002'],1034034,1036346,1036346,1034034,"1036340, 1036210","6, 136","0.00, 0.06","False, True","unambiguous, unambiguous","257_B9, 399_H12","22_B5, 34_A5"
SO_1003,['SO_1003'],1036510,1038243,1038243,1036510,"1038078","165","0.10","False","unambiguous","302_H10","26_C5"
SO_1004,['SO_1004'],1038253,1040523,1040523,1038253,"1040510, 1040518","13, 5","0.01, 0.00","True, False","ambiguous, unambiguous","109_C1, 415_E2","12_B2, 35_D7"
yghX,['SO_1006'],1040789,1041751,1040789,1041751,"1041629, 1040871","840, 82","0.87, 0.09","True, False","unambiguous, unambiguous","99_C8, 260_A10","5_F1, 40_C9"
