readAlignmentCoord,A,B,C,D,E,F,G,H,1,2,3,4,5,6,7,8,9,10,11,12,PR01,PR02,PR03,PR04,PR05,PR06,PR07,PR08,PR09,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10
968480,4,0,0,1,0,1303,1,0,1,0,0,0,0,0,1,0,845,0,1,63,965,0,0,1,0,0,1,0,0,0,1,0,0,0,1211,0,0,0,1
968481,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
969181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
969182,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
969183,0,0,0,0,0,0,701,1,0,0,1,0,0,1,0,0,1,1052,1,0,823,0,0,2,1,0,0,0,0,0,4,1,1,1681,0,1,0,0,0
969879,0,0,0,0,0,0,414,0,0,0,233,0,0,0,0,0,0,1,0,0,0,0,0,360,0,0,0,0,0,0,383,0,0,0,0,2,0,0,0
970771,0,0,504,0,1,0,0,0,0,0,0,0,1686,0,1,0,2,0,0,1,1,1,0,576,0,0,0,0,1,0,0,0,0,247,0,0,0,0,0
970772,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
971054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
972051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
972052,0,0,0,0,0,4,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0
972053,0,0,0,0,43,47,0,0,0,0,1,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,102,0,0,0,0,0,0
972054,24,7,10,6,7534,8637,16,13,22,12,17,8,70258,29,7,18,14,13,14,11,17,11,24,10,14,7,7,6552,8,12,12,4,18871,15,12,12,12,10,16
972055,0,0,0,0,1,7,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
972056,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
972586,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0
972587,404,1,0,0,0,0,228,122,140,1,1,0,0,0,0,0,0,0,0,432,0,0,1,3,0,307,0,0,0,0,0,0,0,0,0,0,335,247,0
975584,9,0,1,2,1,5591,1,1,1,3,4485,13,0,1,1,2,0,0,0,3,2,2,2,2811,1,0,1,1,0,0,0,1,2,1330,0,0,1,2,2
975585,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
978656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
979092,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
979093,12,14748,11615,4454,8,11,20,10,21,10,9,10,35077,15,11,17,14,15,13,19,21,24,22,10,20,22344,27,12,7,14,17,14,10,11,52697,14,8,20,13
979094,0,7,6,3,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,28,0,0,0,0
979095,0,2,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,8,0,0,0,0
979096,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980317,1,0,1,0,0,0,0,628,0,0,1,1,0,0,539,1,0,0,1,0,1,587,0,0,0,0,0,1,0,0,0,648,1,0,0,1,0,0,0
980318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
980794,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
980795,1,0,0,0,0,0,0,281,0,0,261,0,0,0,0,0,0,0,0,0,0,417,0,0,0,0,1,0,0,0,0,0,0,0,1,0,530,0,0
982985,0,0,0,0,1,0,691,0,0,0,0,0,1,1,0,1710,0,1,1,0,1,0,953,2,0,0,0,0,0,1,1,618,0,0,0,0,0,1,0
982986,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
983230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
983396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
983747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
984223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
984224,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
984225,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0
984226,5,3,0,3328,2,5,1,3,5,3,3,4,4,2,0,3,4,3,4,13604,5,3140,4,1,3,3,8,4,4,1,4,4,5,5,2,15488,4,1,1
984227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
985144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
985146,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0
985147,0,730,0,0,0,1,3,2,2,0,2,0,0,0,1,0,1,2,2931,0,0,864,0,0,0,1,1,0,10,1,0,1,3,0,1973,1,0,0,0
985148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
985149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
985150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986914,749,1,0,0,0,0,1,0,0,0,465,3,0,0,0,1,1,0,0,1,0,2,349,0,0,0,1,0,0,0,0,0,1216,0,0,0,0,0,1
986915,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
988185,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988186,1,0,1162,0,0,0,1,0,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,349,0,0,1,0,0,0,0,0,0
988187,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
988188,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
988397,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988398,1,0,2,0,579,0,3,1,0,0,0,0,1,0,2,1,0,1033,0,2,0,0,2011,1,0,1,0,0,0,1433,1,1,2,0,1,0,1,0,3
988399,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
990381,1,72,0,0,2,1,0,1,1,1,0,0,0,0,0,877,0,0,0,0,0,0,472,1,1,0,0,0,2,1476,2,0,0,0,0,0,0,0,0
990382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
990870,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0
990979,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,240,52,0,1,0,1,1,0,0,0,0,0,298,0,0,0,0,0,0,0
991876,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
992228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
992229,0,0,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0
992230,2,0,434,888,0,0,0,0,0,0,0,0,624,0,0,0,0,1,2,0,1,0,0,0,1,1395,1,0,0,452,0,0,0,0,0,0,0,0,0
992232,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
994686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
994687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
994688,0,0,0,0,1,0,64,0,0,0,0,0,145,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,388,1,0,0,0
995195,2,3,2,1,0,1,800,4677,1,0,3342,4,2,3,1,0,2,2,3,3,1,2,1,1,2,0,2,1951,2,0,0,3,2,2,3,5281,1,1,1
995196,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0
995360,0,0,1,0,364,0,2,0,2,2,0,0,1,0,0,1419,0,3,1,1,0,469,1,1,0,0,0,0,0,0,2033,0,1,1,1,0,0,0,1
995361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
995888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
995889,0,134,0,0,0,0,1,1,1,354,0,0,0,0,0,0,0,0,0,0,298,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,558,0,2
997384,26,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,138,0,0,0,0,0,0,0,0,273,1,0,0,0,0,0,0,0,0
997385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
997996,0,0,1,0,56,0,0,0,0,0,0,1,0,0,1,136,0,0,0,0,0,537,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,243
1001236,3,1,1,0,1,958,1,0,0,0,0,0,0,0,1,0,0,0,1959,1,0,0,458,0,0,0,1,0,8,0,0,0,0,0,740,0,1,1,0
1001237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1001238,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003058,1,0,0,0,0,1795,1,1,4,0,0,1,0,0,1,949,0,0,0,1,651,0,1,1,1,1,0,0,1,2,1,0,1,1,0,1,0,2342,0
1003059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1003454,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1003455,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1003456,0,1,0,0,0,2,457,0,2,0,0,0,0,2,0,0,1,1263,0,1,0,575,0,0,0,0,2,0,1,0,7,0,0,0,1530,0,2,0,0
1003457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1003934,1,0,0,0,288,0,1,1,0,0,0,0,0,0,0,0,0,0,717,1,0,775,1,3,0,0,0,0,4,2,1,0,2,0,0,2193,0,0,1
1003935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1004876,5,2194,0,1,0,1,0,0,1,2058,0,1,1,1,0,0,1,6,1,0,1,1,1,0,1,0,0,0,2,1,1,2,0,1,0,1,0,0,907
1004877,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006884,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25
1006885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1007128,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1007308,0,0,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1007309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1007713,1,194,132,0,0,0,0,0,0,1,0,0,0,430,0,1,0,142,1,0,0,0,117,1,0,387,0,0,0,0,0,0,0,0,128,1,0,281,0
1007714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1008350,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1008507,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008511,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008789,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1008839,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008896,4,3,2,2,0,4,5750,4,4,4,4,4,5,1,5,3,3,3,9421,8,5915,5,1,15,6,1,1,1,38,9225,3,2,4,3,3,1,2,2,12
1008897,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,15,0,12,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
1008898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1008918,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009607,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
1009923,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009924,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1009925,1,1,2,1,0,0,444,0,0,0,0,0,0,529,0,0,0,1,0,0,720,0,0,2,0,0,1,0,2,1004,1,2,0,0,0,0,0,0,0
1010028,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
1010029,0,0,0,2,1,0,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0
1010030,0,2,2,0,2,2,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,32,0,0,0,0,0
1010031,503,562,915,901,1057,1776,1432,797,4,4,2505,5223,7,7,5,2,4,2,9,2,3,6,5,6,2,3,2,3,7498,2,3,2,0,6686,5,2,4,3,4
1010032,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1010033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1010216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0
1010795,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,5,0,0,0,0,0,0,0,16,0,0,0,0,0,0
1010796,4,2,553,1,1,0,1,1,2,1,3,3,2,1,1,0,2,1,1,6368,1,0,3,2,2074,0,3,1,0,0,0,1,3984,0,2,0,2,0,0
1010797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1010926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1012801,54,0,0,0,0,0,1,0,0,357,0,0,0,0,0,0,0,0,0,1,0,0,337,0,0,0,0,0,0,0,0,113,0,0,0,0,1,0,0
1014292,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
1015178,0,1,0,0,76,0,0,0,0,0,125,155,0,0,0,1,0,0,0,0,1,0,512,0,0,0,0,0,0,151,0,1,0,1,0,0,0,0,1
1015179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016445,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,0,0,303,0,0,0,0,0,0,37,0,0,1,0,0,0,1,0,0
1020456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1020457,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8
1020458,1,0,3,389,117,0,0,0,1,1732,0,0,0,2,0,0,2,4,1,1,1,0,0,0,0,0,2,934,0,2,1,0,1,0,0,0,0,0,1485
1020459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1021141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1021143,1,1,0,193,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1021,0,0,0,1,161,1,0,0,0,3,0,0,0,990,0,0,0,0,0,0
1023806,0,0,0,0,269,1,2,1,1,0,0,0,3,0,0,1,1,1708,1,0,4,1361,2,2,1,1,1,0,1,0,3,0,0,0,0,1,0,1,2670
1023807,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1023808,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1025336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027492,0,0,0,103,0,0,0,1,0,0,29,0,0,1,0,0,0,0,0,1,0,0,0,483,0,1,0,1,0,0,1,104,0,0,0,0,0,0,0
1027493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,318,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1028119,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1028120,0,0,0,4,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,0,0,0,0,0,0,0,0,0
1028121,1,3,3,1521,869,0,0,2,1778,1,0,1,1,1,1,1,1,2,0,1,3,2,0,2,1,0,2,0,2980,5985,0,1,1,1,0,0,1,1,2
1028823,0,0,1,0,0,0,172,0,0,0,1,0,0,0,0,279,0,0,0,0,156,0,0,1,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0
1030320,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030321,0,0,0,0,0,8,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1030322,3,0,1,1,1,1213,0,0,2,1,2,0,0,0,1333,1,0,0,0,1,0,1,1,1887,0,0,0,0,2,2,0,1,0,607,0,0,1,1,1
1031133,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031134,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1031135,0,0,1,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,199,0,0,0,0,0,0,4,0,0,0,0,337,0,0,0,1,0
1033523,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033524,850,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0
1033794,0,1,0,0,0,0,1257,0,2,0,1,0,1,0,0,1223,0,0,1,1,0,2,1909,1,0,0,2,0,0,0,0,1,0,1,1164,0,1,0,1
1033795,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1036340,0,332,0,0,0,0,1,1,0,0,0,0,622,1,1,0,1,0,0,2,0,0,909,0,0,0,2,0,1,2,1103,0,0,1,0,0,0,1,0
1036341,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1036505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1038078,1,1,432,0,0,0,0,0,0,1,0,0,45,0,0,0,0,0,0,0,0,0,468,0,2,0,0,1,0,0,0,0,0,0,433,1,0,2,0
1038079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1039381,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
