Plate,Plate Row,Plate Column,Well,Transposon Coordinates,Transposon Locatabilities,Features Disrupted,Distances of Transposon from Translation Starts,Fractional Distances of Transposon from Translation Starts,Locus Tags
54,PR03,PC12,E8,"4001144","unambiguous","sfcA","346","0.20","SO_3855"
54,PR03,PC12,E9,"213079","unambiguous","None","NA","NA","None"
54,PR03,PC12,E10,"4057410","unambiguous","dusA","512","0.51","SO_3912"
54,PR03,PC12,E11,"5124592","ambiguous","SO_A0165","688","0.79","SO_A0165"
54,PR03,PC12,E12,"","","","","",""
54,PR03,PC12,F1,"451078, 3405114","ambiguous, unambiguous","plpD, SO_3268","1543,26","0.70, 0.01","SO_0428, SO_3268"
54,PR03,PC12,F2,"","","","","",""
54,PR03,PC12,F3,"392918, 2780558","ambiguous, unambiguous","hsdR, ppsA","1709,1679","0.55, 0.71","SO_0380, SO_2644"
54,PR03,PC12,F4,"3071371","ambiguous","SO_2934","180","0.07","SO_2934"
54,PR03,PC12,F5,"1197678","ambiguous","SO_1154","659","0.66","SO_1154"
54,PR03,PC12,F6,"","","","","",""
54,PR03,PC12,F7,"3188995","unambiguous","None","NA","NA","None"
54,PR03,PC12,F8,"4156576","unambiguous","SO_4013","330","0.18","SO_4013"
54,PR03,PC12,F9,"","","","","",""
54,PR03,PC12,F10,"3380956","unambiguous","None","NA","NA","None"
54,PR03,PC12,F11,"2312760, 2610559","unambiguous, ambiguous","SO_2198, pgl","725,548","0.45, 0.79","SO_2198, SO_2488"
54,PR03,PC12,F12,"2471983","unambiguous","SO_2365","257","0.53","SO_2365"
54,PR03,PC12,G1,"3512310","unambiguous","yceI","395","0.69","SO_3370"
54,PR03,PC12,G2,"939812","unambiguous","fic","55","0.09","SO_0913"
54,PR03,PC12,G3,"","","","","",""
54,PR03,PC12,G4,"2625353","unambiguous","None","NA","NA","None"
54,PR03,PC12,G5,"5059926","unambiguous","SO_A0110","30","0.01","SO_A0110"
54,PR03,PC12,G6,"","","","","",""
54,PR03,PC12,G7,"63043","unambiguous","SO_0055","34","0.02","SO_0055"
54,PR03,PC12,G8,"4513326.0","unambiguous","SO_4324","681","0.26","SO_4324"
54,PR03,PC12,G9,"4744605","unambiguous","SO_4547","288","0.29","SO_4547"
54,PR03,PC12,G10,"312181","unambiguous","SO_0306","632","0.39","SO_0306"
54,PR03,PC12,G11,"5124592","ambiguous","SO_A0165","688","0.79","SO_A0165"
54,PR03,PC12,G12,"5050429","ambiguous","SO_A0100","852","0.47","SO_A0100"
54,PR03,PC12,H1,"732930, 1838793","unambiguous, ambiguous","sorA, SO_1757","1184,158","0.97, 0.33","SO_0715, SO_1757"
54,PR03,PC12,H2,"4805425","unambiguous","SO_4610","178","0.77","SO_4610"
54,PR03,PC12,H3,"3108693","unambiguous","SO_2980","475","0.84","SO_2980"
54,PR03,PC12,H4,"","","","","",""
54,PR03,PC12,H5,"291269, 1841771","unambiguous, ambiguous","pilP, altA","239,257","0.46, 0.31","SO_0284, SO_1762"
54,PR03,PC12,H6,"","","","","",""
54,PR03,PC12,H7,"63043, 1816280","unambiguous, unambiguous","SO_0055, SO_1732","34,371","0.02, 0.55","SO_0055, SO_1732"
54,PR03,PC12,H8,"4354220","unambiguous","SO_4181","746","0.81","SO_4181"
54,PR03,PC12,H9,"3876461, 4429805","unambiguous, unambiguous","SO_3733, SO_4252","1200,1274","0.69, 0.64","SO_3733, SO_4252"
54,PR03,PC12,H10,"4164890","unambiguous","None","NA","NA","None"
54,PR03,PC12,H11,"","","","","",""
54,PR03,PC12,H12,"1328341, 5032961","unambiguous, unambiguous","SO_1277, SO_A0084\SO_A0082","183,1810\143","0.12, 0.91\0.45","SO_1277, SO_A0084\SO_A0082"
55,PR03,PC13,A1,"609515","ambiguous","SO_0584","179","0.11","SO_0584"
55,PR03,PC13,A2,"","","","","",""
55,PR03,PC13,A3,"1157091","unambiguous","None","NA","NA","None"
55,PR03,PC13,A4,"2196345","unambiguous","hyaB","524","0.31","SO_2098"
55,PR03,PC13,A5,"3867744","unambiguous","SO_3722","547","0.65","SO_3722"
55,PR03,PC13,A6,"","","","","",""
55,PR03,PC13,A7,"464015","unambiguous","SO_0438","157","0.20","SO_0438"
55,PR03,PC13,A8,"4373530","unambiguous","SO_4207","816","0.43","SO_4207"
55,PR03,PC13,A9,"2597804, 3512110, 5055579","unambiguous, unambiguous, ambiguous","SO_2476, None, SO_A0106","804,NA,444","0.68, NA, 0.27","SO_2476, None, SO_A0106"
55,PR03,PC13,A10,"2580904","unambiguous","SO_2461","357","0.05","SO_2461"
55,PR03,PC13,A11,"4512325","unambiguous","None","NA","NA","None"
55,PR03,PC13,A12,"1759173","unambiguous","SO_1672","510","0.87","SO_1672"
55,PR03,PC13,B1,"1078559","unambiguous","cobQ","1381","0.90","SO_1038"
55,PR03,PC13,B2,"","","","","",""
55,PR03,PC13,B3,"1528616, 1671172, 2197133, 3498964, 3816987, 3946930","unambiguous, unambiguous, ambiguous, unambiguous, ambiguous, unambiguous","SO_1463, pfaC, hyaA, yggT, fadD, SO_3794","3174,5035,876,59,417,1735","0.48, 0.85, 0.77, 0.11, 0.26, 0.76","SO_1463, SO_1599, SO_2099, SO_3355, SO_3664, SO_3794"
55,PR03,PC13,B4,"1528616, 2196345, 3094795","unambiguous, unambiguous, ambiguous","SO_1463, hyaB, SO_2957","3174,524,208","0.48, 0.31, 0.57","SO_1463, SO_2098, SO_2957"
55,PR03,PC13,B5,"3946930","unambiguous","SO_3794","1735","0.76","SO_3794"
55,PR03,PC13,B6,"","","","","",""
55,PR03,PC13,B7,"464015, 4635324","unambiguous, ambiguous","SO_0438, SO_4445","157,2546","0.20, 0.74","SO_0438, SO_4445"
55,PR03,PC13,B8,"3498964","unambiguous","yggT","59","0.11","SO_3355"
55,PR03,PC13,B9,"3816987","ambiguous","fadD","417","0.26","SO_3664"
55,PR03,PC13,B10,"2843760","unambiguous","SO_2726","616","0.83","SO_2726"
55,PR03,PC13,B11,"2197133","ambiguous","hyaA","876","0.77","SO_2099"
55,PR03,PC13,B12,"","","","","",""
55,PR03,PC13,C1,"","","","","",""
55,PR03,PC13,C2,"152944","unambiguous","ptrB","1425","0.67","SO_0144"
55,PR03,PC13,C3,"1366593","unambiguous","SO_1311","209","0.10","SO_1311"
55,PR03,PC13,C4,"43527, 3314786","ambiguous, unambiguous","None, SO_3176","NA,618","NA, 0.55","None, SO_3176"
55,PR03,PC13,C5,"572097, 5009795","ambiguous, ambiguous","None, SO_A0049","NA,1129","NA, 0.52","None, SO_A0049"
55,PR03,PC13,C6,"","","","","",""
55,PR03,PC13,C7,"2312433","unambiguous","SO_2198","398","0.25","SO_2198"
55,PR03,PC13,C8,"2359181, 5009795","unambiguous, ambiguous","malR, SO_A0049","27,1129","0.03, 0.52","SO_2244, SO_A0049"
55,PR03,PC13,C9,"5055579","ambiguous","SO_A0106","444","0.27","SO_A0106"
55,PR03,PC13,C10,"1610072","unambiguous","SO_1535","5","0.01","SO_1535"
55,PR03,PC13,C11,"1028089, 1456773, 2062454","unambiguous, unambiguous, unambiguous","SO_0996, SO_1401, None","493,527,NA","0.99, 0.33, NA","SO_0996, SO_1401, None"
55,PR03,PC13,C12,"","","","","",""
55,PR03,PC13,D1,"1400089","unambiguous","rseA","269","0.43","SO_1343"
55,PR03,PC13,D2,"","","","","",""
55,PR03,PC13,D3,"535426","unambiguous","SO_0510","573","0.85","SO_0510"
55,PR03,PC13,D4,"62010","unambiguous","SO_0055","1067","0.62","SO_0055"
55,PR03,PC13,D5,"4933637","unambiguous","SO_4729","224","0.48","SO_4729"
55,PR03,PC13,D6,"","","","","",""
55,PR03,PC13,D7,"3753099","unambiguous","SO_3587","106","0.23","SO_3587"
55,PR03,PC13,D8,"3910199","unambiguous","glnE","24","0.01","SO_3760"
55,PR03,PC13,D9,"136237","unambiguous","None","NA","NA","None"
55,PR03,PC13,D10,"751119","unambiguous","SO_0736","152","0.19","SO_0736"
55,PR03,PC13,D11,"4966403","unambiguous","parA","598","0.76","SO_4756"
55,PR03,PC13,D12,"2250369.0","unambiguous","SO_2143","922","0.55","SO_2143"
55,PR03,PC13,E1,"","","","","",""
55,PR03,PC13,E2,"2020197, 4731113","ambiguous, unambiguous","SO_1918, SO_4538","1344,1055","0.89, 0.71","SO_1918, SO_4538"
55,PR03,PC13,E3,"985764","unambiguous","brnQ","767","0.55","SO_0949"
55,PR03,PC13,E4,"3094795, 3384314","ambiguous, unambiguous","SO_2957, flgG","208,403","0.57, 0.51","SO_2957, SO_3244"
55,PR03,PC13,E5,"","","","","",""
55,PR03,PC13,E6,"136178, 3121668","ambiguous, ambiguous","None, SO_3005","NA,473","NA, 0.95","None, SO_3005"
55,PR03,PC13,E7,"136178, 982475","ambiguous, ambiguous","None, srmB","NA,984","NA, 0.78","None, SO_0947"
55,PR03,PC13,E8,"5098321","unambiguous","SO_A0140","2094","0.90","SO_A0140"
55,PR03,PC13,E9,"3654588, 4603758","unambiguous, unambiguous","nagP, glnA","285,95","0.22, 0.07","SO_3503, SO_4410"
55,PR03,PC13,E10,"2463428, 2597803","unambiguous, unambiguous","None, SO_2476","NA,803","NA, 0.68","None, SO_2476"
55,PR03,PC13,E11,"5121030","unambiguous","None","NA","NA","None"
55,PR03,PC13,E12,"4672230","ambiguous","None","NA","NA","None"
55,PR03,PC13,F1,"2822375, 5069011","unambiguous, ambiguous","gpS, None","1262,NA","0.73, NA","SO_2704, None"
55,PR03,PC13,F2,"4078455","ambiguous","SO_3933","1160","0.81","SO_3933"
55,PR03,PC13,F3,"324384","unambiguous","SO_0317","534","0.70","SO_0317"
55,PR03,PC13,F4,"1630747","unambiguous","SO_1554","638","0.35","SO_1554"
55,PR03,PC13,F5,"3713098, 5069011","unambiguous, ambiguous","purK, None","158,NA","0.14, NA","SO_3555, None"
55,PR03,PC13,F6,"","","","","",""
55,PR03,PC13,F7,"5094952","unambiguous","None","NA","NA","None"
55,PR03,PC13,F8,"2985586","unambiguous","yeeZ","474","0.56","SO_2861"
55,PR03,PC13,F9,"1005032, 3032147","unambiguous, unambiguous","SO_0973, SO_2905","211,208","0.73, 0.19","SO_0973, SO_2905"
55,PR03,PC13,F10,"4813440","ambiguous","SO_4618","1223","0.63","SO_4618"
55,PR03,PC13,F11,"3383560","unambiguous","flgH","356","0.53","SO_3243"
55,PR03,PC13,F12,"3205367, 4298921","ambiguous, unambiguous","SO_3084, SO_4142","327,53","0.08, 0.16","SO_3084, SO_4142"
55,PR03,PC13,G1,"762209","unambiguous","None","NA","NA","None"
55,PR03,PC13,G2,"","","","","",""
55,PR03,PC13,G3,"1113601","ambiguous","gbpA","898","0.61","SO_1072"
55,PR03,PC13,G4,"","","","","",""
55,PR03,PC13,G5,"2712700","unambiguous","None","NA","NA","None"
55,PR03,PC13,G6,"","","","","",""
55,PR03,PC13,G7,"1091108, 1909717, 4506959","ambiguous, unambiguous, ambiguous","pitB, dinG, aggB","1455,154,1212","0.99, 0.07, 0.88","SO_1052, SO_1819, SO_4319"
55,PR03,PC13,G8,"","","","","",""
55,PR03,PC13,G9,"3384494","unambiguous","flgG","223","0.28","SO_3244"
55,PR03,PC13,G10,"312181, 1091108, 3297472","unambiguous, ambiguous, unambiguous","SO_0306, pitB, wbfB","632,1455,2318","0.39, 0.99, 0.97","SO_0306, SO_1052, SO_3159"
55,PR03,PC13,G11,"2795890","unambiguous","SO_2664","251","0.86","SO_2664"
55,PR03,PC13,G12,"949940, 3086041","ambiguous, unambiguous","sdaC, K","555,522","0.43, 0.73","SO_0919, SO_2948"
55,PR03,PC13,H1,"1939496","unambiguous","None","NA","NA","None"
55,PR03,PC13,H2,"","","","","",""
55,PR03,PC13,H3,"5057079","ambiguous","SO_A0107","178","0.57","SO_A0107"
55,PR03,PC13,H4,"3250983","ambiguous","cheV","748","0.83","SO_3123"
55,PR03,PC13,H5,"1003058","unambiguous","fccA","266","0.15","SO_0970"
55,PR03,PC13,H6,"","","","","",""
55,PR03,PC13,H7,"364165","unambiguous","None","NA","NA","None"
55,PR03,PC13,H8,"2885162","unambiguous","nagD","557","0.75","SO_2762"
55,PR03,PC13,H9,"","","","","",""
55,PR03,PC13,H10,"4560093","unambiguous","recG","1842","0.89","SO_4364"
55,PR03,PC13,H11,"326013","unambiguous","SO_0319","844","0.61","SO_0319"
55,PR03,PC13,H12,"","","","","",""
56,PR03,PC14,A1,"3628370","unambiguous","SO_3480","762","0.66","SO_3480"
56,PR03,PC14,A2,"3099801","ambiguous","B","320","0.25","SO_2965"
56,PR03,PC14,A3,"4441563","unambiguous","hsdM","1170","0.73","SO_4265"
56,PR03,PC14,A4,"3099801","ambiguous","B","320","0.25","SO_2965"
56,PR03,PC14,A5,"1645444","unambiguous","SO_1569","301","0.35","SO_1569"
56,PR03,PC14,A6,"","","","","",""
56,PR03,PC14,A7,"","","","","",""
56,PR03,PC14,A8,"135476, 212204","unambiguous, unambiguous","SO_0127, None","538,NA","0.33, NA","SO_0127, None"
56,PR03,PC14,A9,"","","","","",""
56,PR03,PC14,A10,"2798368","unambiguous","None","NA","NA","None"
56,PR03,PC14,A11,"1931782","ambiguous","SO_1841","854","0.74","SO_1841"
56,PR03,PC14,A12,"2912544","unambiguous","sbcB","342","0.24","SO_2790"
56,PR03,PC14,B1,"5081346","unambiguous","SO_A0126","1025","1.00","SO_A0126"
56,PR03,PC14,B2,"","","","","",""
56,PR03,PC14,B3,"54289, 2423698, 3178483, 3891365, 4441563, 4636155, 5041889, 5055969, 5081346","unambiguous, unambiguous, ambiguous, unambiguous, unambiguous, unambiguous, ambiguous, unambiguous, unambiguous","SO_0047, None, None, rfaE, hsdM, SO_4445, SO_A0089\SO_A0092, SO_A0106, SO_A0126","118,NA,NA,93,1170,3377,4188\1482,834,1025","0.10, NA, NA, 0.07, 0.73, 0.99, 0.97\0.92, 0.51, 1.00","SO_0047, None, None, SO_3745, SO_4265, SO_4445, SO_A0089\SO_A0092, SO_A0106, SO_A0126"
56,PR03,PC14,B4,"1868255","unambiguous","mtrD","964","1.00","SO_1782"
56,PR03,PC14,B5,"54289","unambiguous","SO_0047","118","0.10","SO_0047"
56,PR03,PC14,B6,"","","","","",""
56,PR03,PC14,B7,"5055969","unambiguous","SO_A0106","834","0.51","SO_A0106"
56,PR03,PC14,B8,"3178483","ambiguous","None","NA","NA","None"
56,PR03,PC14,B9,"2423698, 4302018","unambiguous, unambiguous","None, otr","NA,859","NA, 0.62","None, SO_4144"
56,PR03,PC14,B10,"3891365","unambiguous","rfaE","93","0.07","SO_3745"
56,PR03,PC14,B11,"1931782.0","unambiguous","SO_1841","854","0.74","SO_1841"
56,PR03,PC14,B12,"","","","","",""
56,PR03,PC14,C1,"1949505","unambiguous","SO_1857","317","0.18","SO_1857"
56,PR03,PC14,C2,"3905282, 4735212","ambiguous, unambiguous","None, SO_4539","NA,3743","NA, 0.76","None, SO_4539"
56,PR03,PC14,C3,"","","","","",""
56,PR03,PC14,C4,"1380377, 3745131, 4800738","unambiguous, unambiguous, unambiguous","gltB, None, coxB","2421,NA,15","0.54, NA, 0.01","SO_1325, None, SO_4606"
56,PR03,PC14,C5,"284195, 5082372","unambiguous, ambiguous","argG, None","899,NA","0.74, NA","SO_0278, None"
56,PR03,PC14,C6,"","","","","",""
56,PR03,PC14,C7,"","","","","",""
56,PR03,PC14,C8,"626746, 4204102","unambiguous, ambiguous","amiB, SO_4051","1301,959","0.94, 0.89","SO_0600, SO_4051"
56,PR03,PC14,C9,"1949505, 3508509, 4715101","unambiguous, unambiguous, unambiguous","SO_1857, glsA, SO_4520","317,884,686","0.18, 0.97, 0.51","SO_1857, SO_3365, SO_4520"
56,PR03,PC14,C10,"2459408, 4898305","unambiguous, unambiguous","SO_2351, None","235,NA","0.26, NA","SO_2351, None"
56,PR03,PC14,C11,"","","","","",""
56,PR03,PC14,C12,"5020517","unambiguous","SO_A0062","282","0.79","SO_A0062"
56,PR03,PC14,D1,"1911250, 4817210","ambiguous, unambiguous","polB, SO_4621","1193,442","0.49, 0.58","SO_1820, SO_4621"
56,PR03,PC14,D2,"2817097, 2828629","unambiguous, ambiguous","gpN, SO_2710","1170,562","0.89, 0.95","SO_2698, SO_2710"
56,PR03,PC14,D3,"1119254, 5041889, 5107819","ambiguous, ambiguous, unambiguous","SO_1077, SO_A0089\SO_A0092, SO_A0150","577,4188\1482,483","0.63, 0.97\0.92, 0.69","SO_1077, SO_A0089\SO_A0092, SO_A0150"
56,PR03,PC14,D4,"4580833","unambiguous","SO_4385","503","0.37","SO_4385"
56,PR03,PC14,D5,"3557821","unambiguous","thrL","36","0.51","SO_4802"
56,PR03,PC14,D6,"","","","","",""
56,PR03,PC14,D7,"267123, 2214398","unambiguous, unambiguous","ccmF, SO_2113","1452,1466","0.73, 0.35","SO_0266, SO_2113"
56,PR03,PC14,D8,"1911250","ambiguous","polB","1193","0.49","SO_1820"
56,PR03,PC14,D9,"3145961","unambiguous","putA","1812","0.83","SO_3033"
56,PR03,PC14,D10,"","","","","",""
56,PR03,PC14,D11,"2076203, 3593630, 4773833","unambiguous, unambiguous, ambiguous","SO_1971, None, fimA","808,NA,316","0.47, NA, 0.56","SO_1971, None, SO_4579"
56,PR03,PC14,D12,"1620170, 5041889","unambiguous, ambiguous","None, SO_A0089\SO_A0092","NA,4188\1482","NA, 0.97\0.92","None, SO_A0089\SO_A0092"
56,PR03,PC14,E1,"40629, 3647855","ambiguous, unambiguous","smg, None","366,NA","0.77, NA","SO_0035, None"
56,PR03,PC14,E2,"1203435","unambiguous","holD","129","0.37","SO_1159"
56,PR03,PC14,E3,"2409837","unambiguous","None","NA","NA","None"
56,PR03,PC14,E4,"","","","","",""
56,PR03,PC14,E5,"267122, 1750181","unambiguous, unambiguous","ccmF, SO_1662","1451,368","0.73, 0.87","SO_0266, SO_1662"
56,PR03,PC14,E6,"","","","","",""
56,PR03,PC14,E7,"","","","","",""
56,PR03,PC14,E8,"1630434","unambiguous","SO_1554","325","0.18","SO_1554"
56,PR03,PC14,E9,"3084281, 4072327, 4408374","unambiguous, unambiguous, unambiguous","SO_2945, hydE, SO_4231","383,101,1141","0.42, 0.09, 0.89","SO_2945, SO_3925, SO_4231"
56,PR03,PC14,E10,"845202","unambiguous","SO_0827","604","0.37","SO_0827"
56,PR03,PC14,E11,"3264145","unambiguous","dctQ","38","0.06","SO_3135"
56,PR03,PC14,E12,"3440246","unambiguous","xseA","1280","0.96","SO_3294"
56,PR03,PC14,F1,"1108547, 1911250.0","unambiguous, ambiguous","SO_1067, polB","275,1193","0.60, 0.49","SO_1067, SO_1820"
56,PR03,PC14,F2,"102357","unambiguous","None","NA","NA","None"
56,PR03,PC14,F3,"1113838","unambiguous","gbpA","1135","0.77","SO_1072"
56,PR03,PC14,F4,"","","","","",""
56,PR03,PC14,F5,"1349341, 1838794, 2789500","ambiguous, unambiguous, unambiguous","gspB, SO_1757, tnpA","528,159,54","0.48, 0.33, 0.03","SO_1298, SO_1757, SO_2654"
56,PR03,PC14,F6,"","","","","",""
56,PR03,PC14,F7,"","","","","",""
56,PR03,PC14,F8,"1911250","ambiguous","polB","1193","0.49","SO_1820"
56,PR03,PC14,F9,"","","","","",""
56,PR03,PC14,F10,"119250","unambiguous","yedE","503","0.41","SO_0108"
56,PR03,PC14,F11,"3764797, 4364553","ambiguous, unambiguous","cysA, SO_4196","824,14","0.73, 0.06","SO_3602, SO_4196"
56,PR03,PC14,F12,"101615, 3193426","unambiguous, ambiguous","SO_0093, mnmC","579,668","0.47, 0.32","SO_0093, SO_3073"
56,PR03,PC14,G1,"4200647","unambiguous","None","NA","NA","None"
56,PR03,PC14,G2,"","","","","",""
56,PR03,PC14,G3,"965896","unambiguous","SO_0934","439","0.60","SO_0934"
56,PR03,PC14,G4,"","","","","",""
56,PR03,PC14,G5,"654856","unambiguous","SO_0628","1388","0.63","SO_0628"
56,PR03,PC14,G6,"","","","","",""
56,PR03,PC14,G7,"977405, 1685632","ambiguous, unambiguous","SO_0945, pfaA","3031,530","0.95, 0.07","SO_0945, SO_1602"
56,PR03,PC14,G8,"977405, 1360936","ambiguous, ambiguous","SO_0945, SO_1309","3031,945","0.95, 0.31","SO_0945, SO_1309"
56,PR03,PC14,G9,"727271, 2560184","unambiguous, unambiguous","SO_0709, thiC","406,522","0.16, 0.24","SO_0709, SO_2445"
56,PR03,PC14,G10,"977405, 1142331","ambiguous, unambiguous","SO_0945, SO_1100","3031,467","0.95, 0.42","SO_0945, SO_1100"
56,PR03,PC14,G11,"","","","","",""
56,PR03,PC14,G12,"4421326, 4496011","unambiguous, unambiguous","yigI, bpfA","452,849","0.97, 0.10","SO_4242, SO_4317"
56,PR03,PC14,H1,"","","","","",""
56,PR03,PC14,H2,"","","","","",""
56,PR03,PC14,H3,"2478047","unambiguous","SO_2373","969","0.76","SO_2373"
56,PR03,PC14,H4,"2933702, 5051370","unambiguous, ambiguous","tnpA, None","1728,NA","0.71, NA","SO_2810, None"
56,PR03,PC14,H5,"614509","unambiguous","SO_0588","1815","0.57","SO_0588"
56,PR03,PC14,H6,"","","","","",""
56,PR03,PC14,H7,"1975886, 2214398","unambiguous, unambiguous","bamD, SO_2113","356,1466","0.32, 0.35","SO_1880, SO_2113"
56,PR03,PC14,H8,"3749955","unambiguous","SO_3582","1425","0.88","SO_3582"
56,PR03,PC14,H9,"3544314, 4357593","unambiguous, unambiguous","None, SO_4187","NA,300","NA, 0.64","None, SO_4187"
56,PR03,PC14,H10,"4706673","unambiguous","fdhA","1040","0.36","SO_4513"
56,PR03,PC14,H11,"3391674, 5051370","unambiguous, ambiguous","None, None","NA,NA","NA, NA","None, None"
56,PR03,PC14,H12,"357967","ambiguous","SO_0350","521","0.47","SO_0350"
57,PR03,PC15,A1,"4930460","unambiguous","mutM","53","0.07","SO_4726"
57,PR03,PC15,A2,"129392, 3818910","unambiguous, ambiguous","SO_0119, SO_3665","152,1103","0.39, 0.62","SO_0119, SO_3665"
57,PR03,PC15,A3,"2841958, 3950482","unambiguous, ambiguous","SO_2724, ydcP","1583,209","0.90, 0.11","SO_2724, SO_3797"
57,PR03,PC15,A4,"","","","","",""
57,PR03,PC15,A5,"","","","","",""
57,PR03,PC15,A6,"","","","","",""
57,PR03,PC15,A7,"1296832","unambiguous","argW","458","0.34","SO_1245"
57,PR03,PC15,A8,"1107079, 1236301","ambiguous, unambiguous","exeM, secD","1556,309","0.60, 0.17","SO_1066, SO_1193"
57,PR03,PC15,A9,"1151946, 5097696","ambiguous, ambiguous","nqrF, SO_A0140","1103,1469","0.88, 0.63","SO_1108, SO_A0140"
57,PR03,PC15,A10,"","","","","",""
57,PR03,PC15,A11,"897105","ambiguous","SO_0867","1241","0.50","SO_0867"
57,PR03,PC15,A12,"2702764","unambiguous","SO_2571","1426","1.00","SO_2571"
57,PR03,PC15,B1,"3664073","unambiguous","None","NA","NA","None"
57,PR03,PC15,B2,"3818910","ambiguous","SO_3665","1103","0.62","SO_3665"
57,PR03,PC15,B3,"2655634, 3664073, 3777135, 4213788, 4227559, 4371815, 4879588","unambiguous, unambiguous, unambiguous, unambiguous, unambiguous, unambiguous, ambiguous","SO_4784, None, SO_3614, SO_4058, rimO, SO_4205, SO_4680","368,NA,1508,741,1357,418,831","0.97, NA, 0.98, 1.00, 0.94, 0.80, 0.77","SO_4784, None, SO_3614, SO_4058, SO_4072, SO_4205, SO_4680"
57,PR03,PC15,B4,"3818910","ambiguous","SO_3665","1103","0.62","SO_3665"
57,PR03,PC15,B5,"4879588","ambiguous","SO_4680","831","0.77","SO_4680"
57,PR03,PC15,B6,"","","","","",""
57,PR03,PC15,B7,"3777135, 4635324","unambiguous, ambiguous","SO_3614, SO_4445","1508,2546","0.98, 0.74","SO_3614, SO_4445"
57,PR03,PC15,B8,"","","","","",""
57,PR03,PC15,B9,"1682860, 4213788","ambiguous, unambiguous","pfaA, SO_4058","3302,741","0.43, 1.00","SO_1602, SO_4058"
57,PR03,PC15,B10,"4371815","unambiguous","SO_4205","418","0.80","SO_4205"
57,PR03,PC15,B11,"897105, 4227559","ambiguous, unambiguous","SO_0867, rimO","1241,1357","0.50, 0.94","SO_0867, SO_4072"
57,PR03,PC15,B12,"2655634","unambiguous","SO_4784","368","0.97","SO_4784"
57,PR03,PC15,C1,"","","","","",""
57,PR03,PC15,C2,"1996, 553817, 2429470","unambiguous, ambiguous, ambiguous","SO_0002, None, cheA","1042,NA,131","0.67, NA, 0.04","SO_0002, None, SO_2320"
57,PR03,PC15,C3,"3145962","unambiguous","putA","1813","0.83","SO_3033"
57,PR03,PC15,C4,"","","","","",""
57,PR03,PC15,C5,"","","","","",""
57,PR03,PC15,C6,"","","","","",""
57,PR03,PC15,C7,"619400","unambiguous","None","NA","NA","None"
57,PR03,PC15,C8,"2429470","ambiguous","cheA","131","0.04","SO_2320"
57,PR03,PC15,C9,"149156.0, 1151945, 2029799","ambiguous, ambiguous, unambiguous","SO_0141, nqrF, gltA","683,1102,665","0.21, 0.88, 0.52","SO_0141, SO_1108, SO_1926"
57,PR03,PC15,C10,"","","","","",""
57,PR03,PC15,C11,"2842401","unambiguous","SO_2725","449","0.71","SO_2725"
57,PR03,PC15,C12,"3891497","ambiguous","None","NA","NA","None"
57,PR03,PC15,D1,"555995, 3360321","unambiguous, ambiguous","SO_0535, fliM","121,144","0.12, 0.14","SO_0535, SO_3221"
57,PR03,PC15,D2,"3195597","unambiguous","SO_3075","63","0.10","SO_3075"
57,PR03,PC15,D3,"","","","","",""
57,PR03,PC15,D4,"","","","","",""
57,PR03,PC15,D5,"3354877","ambiguous","flhA","363","0.17","SO_3213"
57,PR03,PC15,D6,"","","","","",""
57,PR03,PC15,D7,"2997229","ambiguous","SO_2876","1835","0.94","SO_2876"
57,PR03,PC15,D8,"","","","","",""
57,PR03,PC15,D9,"1034330, 3070091","unambiguous, ambiguous","SO_1002, SO_2934","2016,1460","0.87, 0.59","SO_1002, SO_2934"
57,PR03,PC15,D10,"4554220","unambiguous","SO_4359","1382","0.70","SO_4359"
57,PR03,PC15,D11,"1293786, 2997229, 4773833","ambiguous, ambiguous, ambiguous","SO_1242, SO_2876, fimA","422,1835,316","0.94, 0.94, 0.56","SO_1242, SO_2876, SO_4579"
57,PR03,PC15,D12,"703824, 3648380, 3877870","ambiguous, unambiguous, unambiguous","SO_0683, aptA, None","395,451,NA","0.18, 0.34, NA","SO_0683, SO_3497, None"
57,PR03,PC15,E1,"4353468","unambiguous","mxdA","298","0.21","SO_4180"
57,PR03,PC15,E2,"783741","unambiguous","mdh","276","0.30","SO_0770"
57,PR03,PC15,E3,"2046649","unambiguous","SO_1942","108","0.09","SO_1942"
57,PR03,PC15,E4,"690268","unambiguous","SO_0672","122","0.20","SO_0672"
57,PR03,PC15,E5,"563776, 5036057","unambiguous, unambiguous","None, SO_A0085","NA,205","NA, 0.38","None, SO_A0085"
57,PR03,PC15,E6,"","","","","",""
57,PR03,PC15,E7,"4513819","unambiguous","SO_4324","1174","0.45","SO_4324"
57,PR03,PC15,E8,"","","","","",""
57,PR03,PC15,E9,"2781919, 4892123","unambiguous, unambiguous","ppsA, vmeB","318,2495","0.13, 0.80","SO_2644, SO_4692"
57,PR03,PC15,E10,"4001872","unambiguous","sfcA","1074","0.64","SO_3855"
57,PR03,PC15,E11,"3971358","unambiguous","SO_3821","1229","0.79","SO_3821"
57,PR03,PC15,E12,"184784","unambiguous","phyH","479","0.24","SO_0180"
57,PR03,PC15,F1,"4469375","unambiguous","pstA","727","0.84","SO_4290"
57,PR03,PC15,F2,"1254548","unambiguous","SO_1208","78","0.04","SO_1208"
57,PR03,PC15,F3,"547297","unambiguous","rmrA","105","0.10","SO_0524"
